Title,Description,Publish Time,Link
"<h1 class=""title-detail"">'Giáo viên phải bán hàng online để bám trụ nghề' </h1>","Để bám trụ nghề, nhiều thầy cô phải bán hàng online, làm gia sư, số khác phải có sự hỗ trợ từ gia đình mới sống được, theo đại diện giáo viên ở TP HCM.","Thứ ba, 17/10/2023, 14:27 (GMT+7)",https://vnexpress.net/giao-vien-phai-ban-hang-online-de-bam-tru-nghe-4665814.html
"<h1 class=""title-detail"">Rốn lũ Đà Nẵng lại ngập gần một mét</h1>","Sau một ngày nước rút, sáng nay lũ lại dâng cao gần một mét khiến hàng nghìn người dân phường Hòa Khánh Nam, quận Liên Chiểu phải di dời.","Thứ ba, 17/10/2023, 13:47 (GMT+7)",https://vnexpress.net/ron-lu-da-nang-lai-ngap-gan-mot-met-4665789.html
"<h1 class=""title-detail"">Quỹ bảo hiểm tai nạn lao động 'thu nhiều chi ít' </h1>","Chuyên gia cho rằng mỗi năm quỹ bảo hiểm tai nạn lao động thu 6.000 tỷ đồng, song chi ra 1.000 tỷ đồng (chiếm 17%) do mức hỗ trợ thấp, ít dành cho công tác phòng ngừa.","Thứ ba, 17/10/2023, 12:30 (GMT+7)",https://vnexpress.net/quy-bao-hiem-tai-nan-lao-dong-thu-nhieu-chi-it-4665119.html
"<h1 class=""title-detail"">Cân nhắc bài toán nhập khẩu cát từ Campuchia để làm cao tốc </h1>","Cát nhập khẩu từ Campuchia có thể làm vật liệu san lấp cao tốc, song cần cân nhắc bài toán kinh tế do chi phí vận chuyển lớn, theo Vụ Vật liệu xây dựng, Bộ Xây dựng.","Thứ ba, 17/10/2023, 12:27 (GMT+7)",https://vnexpress.net/can-nhac-bai-toan-nhap-khau-cat-tu-campuchia-de-lam-cao-toc-4665713.html
"<h1 class=""title-detail"">Áp thấp nhiệt đới hình thành ngoài khơi miền Trung </h1>","Sáng 17/10, vùng áp thấp ở phía tây nam quần đảo Hoàng Sa đã mạnh lên thành áp thấp nhiệt đới, có thể thành bão cấp 8, gây mưa cho miền Trung.","Thứ ba, 17/10/2023, 11:32 (GMT+7)",https://vnexpress.net/ap-thap-nhiet-doi-hinh-thanh-ngoai-khoi-mien-trung-4665752.html
"<h1 class=""title-detail"">Lắp cửa chống ngập ba ga ngầm Metro Bến Thành - Suối Tiên </h1>",TP HCMCửa vào ga ngầm Metro số 1 (Bến Thành - Suối Tiên) được thiết kế hai bậc với các tấm ngăn nước linh hoạt có thể chống lũ 100-300 năm mới xuất hiện một lần.,"Thứ ba, 17/10/2023, 11:23 (GMT+7)",https://vnexpress.net/lap-cua-chong-ngap-ba-ga-ngam-metro-ben-thanh-suoi-tien-4665747.html
"<h1 class=""title-detail"">Trao quyết định bổ nhiệm Thứ trưởng Bộ Khoa học và Công nghệ </h1>","Sáng 17/10, Bộ trưởng Khoa học và Công nghệ Huỳnh Thành Đạt trao quyết định của Thủ tướng bổ nhiệm ông Trần Hồng Thái giữ chức Thứ trưởng.","Thứ ba, 17/10/2023, 11:01 (GMT+7)",https://vnexpress.net/trao-quyet-dinh-bo-nhiem-thu-truong-bo-khoa-hoc-va-cong-nghe-4665717.html
"<h1 class=""title-detail"">Chìm hai tàu câu mực, 3 ngư dân tử vong </h1>","Quảng NamĐang câu mực ở biển Trường Sa, hai tàu của ngư dân xã Tam Giang, huyện Núi Thành bị sóng đánh chìm, 3 ngư dân chết, 12 người mất tích.","Thứ ba, 17/10/2023, 11:00 (GMT+7)",https://vnexpress.net/chim-hai-tau-cau-muc-3-ngu-dan-tu-vong-4665686.html
"<h1 class=""title-detail"">Ngập lụt chia cắt nhiều khu dân cư </h1>","Quảng NgãiMưa lớn ba ngày qua khiến nhiều khu dân cư ở huyện Bình Sơn bị ngập, một số nơi bị sạt lở phải di dời dân.","Thứ ba, 17/10/2023, 07:20 (GMT+7)",https://vnexpress.net/ngap-lut-chia-cat-nhieu-khu-dan-cu-4665578.html
"<h1 class=""title-detail"">Chế thùng nhựa thành bè giữ tài sản trong mưa lũ </h1>","Quảng NamNhà bên sông Đầm thường xuyên ngập lũ, ông Châu Văn Cư kết thùng phuy nhựa loại 500 lít thành bè để cất giữ tài sản, làm phương tiện cứu hộ.","Thứ ba, 17/10/2023, 00:00 (GMT+7)",https://vnexpress.net/che-thung-nhua-thanh-be-giu-tai-san-trong-mua-lu-4665501.html
